Time,Leader_X,Leader_Y,Leader_Theta
0.0,5.0,0.0,0.0
0.1,4.993751301974831,0.24989584635339165,0.05
0.2,4.975020826390129,0.4991670832341408,0.1
0.30000000000000004,4.943855389680211,0.7471906623679963,0.15000000000000002
0.4,4.900332889206208,0.9933466539753061,0.2
0.5,4.844562108553224,1.2370197962726146,0.25
0.6000000000000001,4.77668244562803,1.477601033306698,0.30000000000000004
0.7000000000000001,4.696863564236894,1.714489037277257,0.35000000000000003
0.8,4.6053049700144255,1.9470917115432527,0.4
0.9,4.502235511763384,2.174827670556151,0.45
1.0,4.387912809451864,2.397127693021015,0.5
1.1,4.262622610297528,2.613436144653296,0.55
1.2000000000000002,4.126678074548391,2.823212366975177,0.6000000000000001
1.3,3.980418992745279,3.025932028680198,0.65
1.4000000000000001,3.8242109364224417,3.2210884361884555,0.7000000000000001
1.5,3.6584443443691046,3.4081938001166705,0.75
1.6,3.483533546735827,3.586780454497614,0.8
1.7000000000000002,3.29991572942491,3.7564020257014636,0.8500000000000001
1.8,3.108049841353322,3.916634548137417,0.9
1.9000000000000001,2.9084154473194173,4.067077523946868,0.9500000000000001
2.0,2.701511529340699,4.207354924039483,1.0
2.1,2.487855239458635,4.337116127970085,1.05
2.2,2.2679806071278867,4.456036800307177,1.1
2.3000000000000003,2.0424372044207857,4.563819701302606,1.1500000000000001
2.4000000000000004,1.811788772383367,4.660195429836132,1.2000000000000002
2.5,1.5766118119763433,4.7449230967779314,1.25
2.6,1.3374941431229368,4.817790927085965,1.3
2.7,1.0950334354652074,4.878616789133296,1.35
2.8000000000000003,0.8498357145012041,4.927248649942301,1.4000000000000001
2.9000000000000004,0.602513846836832,4.963564955187943,1.4500000000000002
3.0,0.35368600833851455,4.987474933020272,1.5
3.1,0.10397413901546214,4.998918820946785,1.55
3.2,-0.14599761150644408,4.997868015207525,1.6
3.3000000000000003,-0.3956044440336704,4.9843251422695944,1.6500000000000001
3.4000000000000004,-0.6442224714776243,4.958324052262343,1.7000000000000002
3.5,-0.8912302782474604,4.919929734369685,1.75
3.6,-1.1360104734654355,4.869238154390976,1.8
3.7,-1.3779512341225648,4.806376014876499,1.85
3.8000000000000003,-1.616447834317518,4.731500438437072,1.9000000000000001
3.9000000000000004,-1.8509041567564355,4.644798575019346,1.9500000000000002
4.0,-2.080734182735712,4.546487134128409,2.0
4.1000000000000005,-2.3053634568835655,4.436811843166876,2.0500000000000003
4.2,-2.5242305229992876,4.316046833244369,2.1
4.3,-2.7367883274013547,4.184493953992488,2.15
4.4,-2.942505586276729,4.0424820190979505,2.2
4.5,-3.1408681136136956,3.890365984439606,2.25
4.6000000000000005,-3.331380106399122,3.7285260608836,2.3000000000000003
4.7,-3.51356538386777,3.5573667639542217,2.35
4.800000000000001,-3.686968577706229,3.377315902755753,2.4000000000000004
4.9,-3.851156270236537,3.1888235106725182,2.45
5.0,-4.005718077734668,2.9923607205197826,2.5
5.1000000000000005,-4.150267676176112,2.788418586957083,2.5500000000000003
5.2,-4.284443766844737,2.577506859107321,2.6
5.300000000000001,-4.40791097939143,2.360152706449411,2.6500000000000004
5.4,-4.520360710085306,2.136899401169149,2.7
5.5,-4.621511893162317,1.9083049602616584,2.75
5.6000000000000005,-4.711111703343292,1.6749407507795233,2.8000000000000003
5.7,-4.788936187765452,1.437390061712722,2.85
5.800000000000001,-4.854790825747953,1.19624664606991,2.9000000000000004
5.9,-4.90851101499227,0.9521132368051353,2.95
6.0,-4.949962483002227,0.7056000402993361,3.0
6.1000000000000005,-4.979041622695306,0.4573232111621838,3.0500000000000003
6.2,-4.995675751366397,0.20790331216645247,3.1
6.300000000000001,-4.99982329235671,-0.04203623683574531,3.1500000000000004
6.4,-4.991473878973766,-0.2918707171379004,3.2
6.5,-4.970648380402731,-0.5409756726505419,3.25
6.6000000000000005,-4.937398849544325,-0.7887284707162433,3.3000000000000003
6.7,-4.89180839290967,-1.034509858366999,3.35
6.800000000000001,-4.833990962897304,-1.2777055101341583,3.4000000000000004
6.9,-4.764091072971524,-1.5177075635421466,3.45
7.0,-4.682283436453981,-1.7539161384480992,3.5
7.1000000000000005,-4.588772529831379,-1.985740836429801,3.5500000000000003
7.2,-4.483792081670735,-2.2126022164742625,3.6
7.300000000000001,-4.367604488419689,-2.433933243278499,3.6500000000000004
7.4,-4.24050015855204,-2.649180704542467,3.7
7.5,-4.1027967866978035,-2.8578065937117185,3.75
7.6000000000000005,-3.9548385595720825,-3.0592894547135963,3.8000000000000003
7.7,-3.7969952956875392,-3.253125685325837,3.85
7.800000000000001,-3.6296615210006995,-3.4388307959198707,3.9000000000000004
7.9,-3.453255482802538,-3.6159406204325606,3.95
8.0,-3.2682181043180596,-3.7840124765396412,4.0
8.1,-3.075011882627872,-3.9426262721309753,4.05
8.200000000000001,-2.8741197326663426,-4.091385555322054,4.1000000000000005
8.3,-2.6660437801857717,-4.229918505377233,4.15
8.4,-2.451304106703497,-4.357878862067941,4.2
8.5,-2.230437449568964,-4.4749467911429175,4.25
8.6,-2.0039958603998773,-4.580829683747274,4.3
8.700000000000001,-1.7725453252406556,-4.675262887792247,4.3500000000000005
8.8,-1.5366643498920967,-4.75801036944758,4.4
8.9,-1.2969425139481305,-4.8288653031031945,4.45
9.0,-1.0539789971538984,-4.887650588325485,4.5
9.1,-0.8083810817684325,-4.9342192925161825,4.55
9.200000000000001,-0.5607626346752699,-4.968455018167322,4.6000000000000005
9.3,-0.3117425730349583,-4.9902721937943975,4.65
9.4,-0.0619433173144528,-4.999616287820504,4.7
