Linear Velocity, Angular Velocity
0.004442897554498678, 0.7853882937281078
0.004442985252626934, 0.7853290747379685
0.004443160650613184, 0.7852106320820077
0.004443423751914472, 0.785032956408768
0.004443774561710296, 0.7847960336908348
0.004444213086895321, 0.7844998452245606
0.004444739336069646, 0.7841443676297026
0.0044453533195266326, 0.7837295728489756
0.004446055049238328, 0.7832554281475146
0.004446844538838279, 0.7827218961122644
0.004447721803602051, 0.7821289346512854
0.004448686860425178, 0.7814764969929933
0.004449739727798525, 0.780764531685324
0.004450880425781307, 0.7799929825948487
0.0044521089759713564, 0.7791617889058093
0.0044534254014730575, 0.7782708851191423
0.004454829726862422, 0.7773202010514116
0.00445632197814986, 0.7763096618337535
0.004457902182740067, 0.7752391879107715
0.004459570369389281, 0.7741086950394085
0.004461326568160007, 0.7729180942878285
0.004463170810372942, 0.7716672920342987
0.004465103128555822, 0.7703561899660635
0.004467123556390172, 0.7689846850782801
0.004469232128654407, 0.7675526696729594
0.004471428881164715, 0.7660600313579649
0.004473713850712729, 0.7645066530461115
0.004476087075000006, 0.7628924129542499
0.004478548592570376, 0.7612171846025751
0.004481098442737967, 0.7594808368139014
0.0044837366655133635, 0.7576832337132126
0.004486463301525708, 0.7558242347271974
0.004489278391942194, 0.7539036945840637
0.004492181978384107, 0.7519214633134905
0.004495174102839343, 0.7498773862467444
0.004498254807571987, 0.747771304017081
0.004501424135028153, 0.7456030525603282
0.0045046821277384685, 0.7433724631157705
0.004508028828216984, 0.7410793622272501
0.004511464278856505, 0.7387235717446891
0.004514988521820257, 0.7363049088258264
0.004518601598929742, 0.7338231859383842
0.004522303551548812, 0.7312782108625845
0.004526094420463856, 0.7286697866941017
0.004529974245760306, 0.7259977118474089
0.004533943066694353, 0.723261780059682
0.004538000921561614, 0.7204617803950647
0.004542147847560714, 0.7175974972496261
0.004546383880652954, 0.7146687103567161
0.004550709055418068, 0.7116751947930845
0.004555123404904321, 0.7086167209854615
0.00455962696047569, 0.7054930547179553
0.004564219751653154, 0.7023039571400331
0.004568901805952014, 0.6990491847753569
0.004573673148713979, 0.6957284895312994
0.004578533802934924, 0.6923416187093075
0.004583483789087243, 0.6888883150162096
0.0045885231249371055, 0.68536831657632
0.004593651825357003, 0.6817813569445577
0.004598869902132631, 0.6781271651205325
0.004604177363764775, 0.6744054655637405
0.004609574215265408, 0.6706159782097207
0.004615060457948404, 0.6667584184875267
0.004620636089214977, 0.6628324973382845
0.0046263011023323425, 0.658837921234946
0.004632055486208128, 0.6547743922035698
0.004637899225157341, 0.6506416078456642
0.004643832298663972, 0.6464392613621984
0.004649854681136642, 0.6421670415789569
0.004655966341657553, 0.6378246329734528
0.004662167243725465, 0.6334117157034649
0.00466845734499164, 0.6289279656372319
0.004674836596990136, 0.624373054385388
0.004681304944860825, 0.6197466493346512
0.0046878623270652535, 0.6150484136834078
0.0046945086750969965, 0.6102780064792757
0.004701243913183326, 0.6054350826586294
0.004708067957981436, 0.6005192930881963
0.004714980718266374, 0.5955302846088628
0.004721982094612118, 0.5904677000817367
0.004729071979065264, 0.5853311784364094
0.004736250254811733, 0.5801203547218516
0.004743516795834809, 0.5748348601594654
0.00475087146656697, 0.56947432219912
0.004758314121532473, 0.5640383645774352
0.00476584460498394, 0.5585266073791257
0.0047734627505296775, 0.5529386671010571
0.0047811683807527676, 0.5472741567191883
0.00478896130682459, 0.5415326857587086
0.0047968413281068885, 0.5357138603671108
0.00480480823174828, 0.5298172833907027
0.004812861792271233, 0.5238425544541457
0.0048210017711519055, 0.5177892700438678
0.004829227916389795, 0.511657023594467
0.004837539962072286, 0.5054454055792709
0.004845937627926282, 0.4991540036043447
0.004854420618866747, 0.4927824025063606
0.0048629886245317435, 0.4863301844546134
0.004871641318813562, 0.479796929056992
0.004880378359378022, 0.4731822134701565
0.0048891993871775855, 0.4664856125140126
0.004898104025954585, 0.4597066987908137
0.00490709188173814, 0.4528450428084383
0.004916162542329573, 0.4459002131087452
0.004925315576784157, 0.4388717764004325
0.004934550534879847, 0.4317592976969871
0.004943866946582123, 0.42456234045953667
0.004953264321497416, 0.4172804667450056
0.004962742148322045, 0.4099132373594475
0.004972299894280953, 0.40246021201684595
0.004981937004559271, 0.3949209495034936
0.004991652901728186, 0.3872950078478934
0.005001446985161136, 0.3795819444967201
0.00501131863044592, 0.37178131649637
0.005021267188786043, 0.3638926806809361
0.005031291986401063, 0.3559155938659502
0.0050413923239140445, 0.34784961304882783
0.005051567475740325, 0.3396942956154761
0.005061816689463038, 0.33144919955350216
0.005072139185210724, 0.32311388367220006
0.005082534155023924, 0.31468790782928224
0.0050930007622213905, 0.3061708331644419
0.005103538140758962, 0.2975622223400209
0.005114145394588845, 0.28886163978897583
0.005124821597010075, 0.2800686519697649
0.005135565790022294, 0.27118282762895163
0.005146376983672221, 0.26220373807108355
0.005157254155402996, 0.25313095743622455
0.005168196249398059, 0.24396406298511525
0.005179202175929232, 0.23470263539228822
0.005190270810701219, 0.22534625904663008
0.005201400994199709, 0.21589452236052797
0.0052125915310408215, 0.20634701808625527
0.005223841189320756, 0.19670334364130077
0.005235148699973968, 0.1869631014411027
0.00524651275612928, 0.17712589924039704
0.005257932012477125, 0.1671913504829506
0.005269405084637431, 0.1571590746590742
0.005280930548539982, 0.1470286976720714
0.0052925069398087644, 0.13679985221274504
0.005304132753156925, 0.12647217814215964
0.005315806441792853, 0.1160453228831405
0.005327526416836645, 0.10551894181977102
0.005339291046749899, 0.09489269870552985
0.005351098656778357, 0.08416626607949848
0.005362947528412247, 0.07333932569103183
